Name,Address,City,State,ZipCode,Phone,CardiacRating,EmergencyServices,Specializations,BedsCount,Website
Anaheim City Hospital,8289 Care Way,Anaheim,SC,10205,(829) 561-4941,4.3,True,"Heart Surgery, Vascular Surgery, Cardiac Rehabilitation",634,www.anaheimcityhospital.com
Cedar Sinai Heart Institute,1208 Care Way,Detroit,ID,71621,(244) 850-7338,4.3,True,"Congenital Heart Disease, Vascular Surgery",432,www.cedarsinaiheartinstitute.com
St. Joseph General Hospital,5749 Hospital Dr,Charlotte,WV,54374,(858) 379-8612,4.6,True,"Heart Surgery, Interventional Cardiology, Vascular Surgery, Preventive Cardiology",762,www.stjosephgeneralhospital.com
St. Joseph Community Hospital,7598 Main St,Albuquerque,SD,77552,(607) 756-8756,3.9,True,"Interventional Cardiology, Heart Surgery, Congenital Heart Disease",309,www.stjosephcommunityhospital.com
Chicago Memorial Hospital,883 University Ave,Chicago,WI,60678,(547) 391-9129,4.5,True,"Congenital Heart Disease, Cardiac Rehabilitation, Heart Failure, Vascular Surgery",758,www.chicagomemorialhospital.com
Tucson Cardiac Care Center,1453 Healing Rd,Tucson,MS,20494,(535) 876-5843,4.1,True,"Preventive Cardiology, Heart Surgery, Interventional Cardiology",363,www.tucsoncardiaccarecenter.com
Louisville Veterans Hospital,7372 Medical Ave,Louisville,RI,19835,(887) 852-7655,4.2,True,"Congenital Heart Disease, Heart Surgery, Heart Failure, Interventional Cardiology",422,www.louisvilleveteranshospital.com
Mount Sinai Community Hospital,7279 Main St,Fresno,WV,89310,(357) 895-8371,3.7,True,"Heart Failure, Cardiac Rehabilitation, Preventive Cardiology, Interventional Cardiology",429,www.mountsinaicommunityhospital.com
Cleveland Clinic Heart Institute,6112 Health Blvd,Portland,NH,34385,(711) 730-7340,4.0,True,"Interventional Cardiology, Heart Failure",625,www.clevelandclinicheartinstitute.com
Mount Sinai Methodist Hospital,4778 Healing Rd,San Diego,KY,19706,(662) 376-8292,4.9,True,"Heart Surgery, Congenital Heart Disease",139,www.mountsinaimethodisthospital.com
Cleveland Clinic Sacred Heart Hospital,8982 Medical Ave,Minneapolis,MA,25907,(405) 342-4878,4.8,False,"Heart Failure, Preventive Cardiology, Electrophysiology",555,www.clevelandclinicsacredhearthospital.com
Mayo Clinic Heart & Vascular Institute,9138 Hospital Dr,Los Angeles,MS,78903,(620) 987-7708,4.4,True,"Congenital Heart Disease, Heart Failure, Vascular Surgery, Cardiac Rehabilitation",638,www.mayoclinicheart&vascularinstitute.com
Mayo Clinic St. Mary's Hospital,7732 Healing Rd,Phoenix,FL,17263,(327) 730-3507,4.3,True,"Heart Surgery, Cardiac Rehabilitation, Preventive Cardiology",361,www.mayoclinicstmaryshospital.com
Mount Sinai St. Mary's Hospital,5769 Care Way,Austin,HI,26406,(840) 510-9740,4.8,True,"Cardiac Rehabilitation, Heart Failure, Preventive Cardiology, Heart Surgery",145,www.mountsinaistmaryshospital.com
Cleveland Clinic Community Hospital,2626 Hospital Dr,Fresno,TN,15958,(856) 989-5336,4.5,True,"Interventional Cardiology, Congenital Heart Disease, Vascular Surgery, Heart Failure",716,www.clevelandcliniccommunityhospital.com
Johns Hopkins Cardiovascular Hospital,596 Health Blvd,Columbus,WY,48985,(664) 274-1981,4.8,True,"Vascular Surgery, Electrophysiology, Heart Failure, Cardiac Rehabilitation",211,www.johnshopkinscardiovascularhospital.com
Cedar Sinai County Medical Center,2453 Medical Ave,Louisville,NE,83616,(308) 526-4960,4.8,True,"Congenital Heart Disease, Electrophysiology, Heart Surgery, Preventive Cardiology",527,www.cedarsinaicountymedicalcenter.com
San Diego City Hospital,1686 Main St,San Diego,LA,34881,(981) 363-9163,3.9,True,"Cardiac Rehabilitation, Congenital Heart Disease, Electrophysiology, Heart Surgery, Preventive Cardiology",577,www.sandiegocityhospital.com
St. Joseph Presbyterian Hospital,6542 Care Way,Milwaukee,NY,88317,(869) 888-8710,4.2,True,"Interventional Cardiology, Vascular Surgery, Heart Surgery, Cardiac Rehabilitation",342,www.stjosephpresbyterianhospital.com
Cedar Sinai Regional Medical Center,6092 University Ave,Mesa,AL,82512,(495) 275-7329,4.1,True,"Cardiac Rehabilitation, Heart Surgery",566,www.cedarsinairegionalmedicalcenter.com
Louisville Heart & Vascular Institute,2046 Hospital Dr,Louisville,WI,88966,(721) 611-9193,5.0,True,"Heart Failure, Congenital Heart Disease, Electrophysiology, Vascular Surgery",91,www.louisvilleheart&vascularinstitute.com
Chicago University Hospital,7861 Care Way,Chicago,AZ,31299,(602) 831-5902,4.2,True,"Heart Failure, Preventive Cardiology, Heart Surgery",657,www.chicagouniversityhospital.com
Johns Hopkins Cardiac Care Center,9322 Medical Ave,Nashville,NC,92478,(227) 811-8775,4.2,True,"Electrophysiology, Cardiac Rehabilitation, Preventive Cardiology, Heart Surgery",321,www.johnshopkinscardiaccarecenter.com
Johns Hopkins Cardiovascular Hospital,941 Care Way,Virginia Beach,WY,85047,(917) 312-4125,4.2,True,"Heart Surgery, Congenital Heart Disease, Heart Failure, Electrophysiology, Interventional Cardiology",69,www.johnshopkinscardiovascularhospital.com
Louisville Veterans Hospital,3440 Health Blvd,Louisville,MA,83516,(532) 878-8837,4.3,True,"Interventional Cardiology, Heart Failure, Electrophysiology, Preventive Cardiology, Congenital Heart Disease",588,www.louisvilleveteranshospital.com
Cleveland Clinic Community Hospital,5708 Care Way,Las Vegas,MA,83149,(505) 430-5876,4.0,True,"Vascular Surgery, Electrophysiology, Congenital Heart Disease, Heart Surgery",345,www.clevelandcliniccommunityhospital.com
Cedar Sinai County Medical Center,9283 University Ave,Arlington,IN,15513,(494) 931-2294,4.6,True,"Congenital Heart Disease, Vascular Surgery, Heart Surgery, Electrophysiology, Heart Failure",404,www.cedarsinaicountymedicalcenter.com
Mount Sinai Methodist Hospital,3410 University Ave,Louisville,TN,41363,(448) 251-9700,4.3,False,"Heart Surgery, Interventional Cardiology, Preventive Cardiology, Heart Failure",281,www.mountsinaimethodisthospital.com
Miami Medical Center,5511 Healing Rd,Miami,IA,63334,(868) 687-8822,4.2,True,"Interventional Cardiology, Preventive Cardiology, Electrophysiology",716,www.miamimedicalcenter.com
Johns Hopkins Presbyterian Hospital,1069 University Ave,San Francisco,WI,33040,(237) 606-9116,3.6,True,"Heart Surgery, Cardiac Rehabilitation",240,www.johnshopkinspresbyterianhospital.com
Bakersfield Medical Center,9405 Care Way,Bakersfield,ME,74738,(337) 716-8668,3.7,False,"Vascular Surgery, Heart Failure, Preventive Cardiology, Congenital Heart Disease",329,www.bakersfieldmedicalcenter.com
San Francisco St. Mary's Hospital,7618 Healing Rd,San Francisco,DE,33002,(825) 854-7643,3.9,True,"Preventive Cardiology, Vascular Surgery, Heart Failure, Electrophysiology",487,www.sanfranciscostmaryshospital.com
St. Joseph Heart Institute,3127 Hospital Dr,Fresno,MA,40870,(657) 971-5374,4.2,False,"Preventive Cardiology, Cardiac Rehabilitation",387,www.stjosephheartinstitute.com
Washington Cardiovascular Hospital,5990 Healing Rd,Washington,PA,25389,(854) 502-7021,3.9,True,"Preventive Cardiology, Electrophysiology, Cardiac Rehabilitation, Vascular Surgery, Heart Surgery",679,www.washingtoncardiovascularhospital.com
Mayo Clinic University Hospital,6221 Health Blvd,Indianapolis,IA,20730,(738) 657-9653,4.6,False,"Cardiac Rehabilitation, Heart Failure, Preventive Cardiology",770,www.mayoclinicuniversityhospital.com
Portland Cardiovascular Hospital,9072 Care Way,Portland,CA,67912,(319) 896-4365,3.8,True,"Heart Failure, Congenital Heart Disease, Preventive Cardiology",784,www.portlandcardiovascularhospital.com
Mayo Clinic Heart Institute,1011 Health Blvd,Omaha,NY,50392,(940) 222-7487,3.7,True,"Vascular Surgery, Heart Failure",310,www.mayoclinicheartinstitute.com
St. Joseph Memorial Hospital,7041 Medical Ave,New York,WV,14159,(493) 618-3948,4.6,True,"Electrophysiology, Cardiac Rehabilitation",188,www.stjosephmemorialhospital.com
Mayo Clinic Veterans Hospital,7448 University Ave,Honolulu,TN,55582,(321) 382-9802,4.9,True,"Heart Surgery, Heart Failure",452,www.mayoclinicveteranshospital.com
Sacramento Baptist Hospital,472 Medical Ave,Sacramento,FL,55371,(358) 482-4088,4.2,True,"Congenital Heart Disease, Vascular Surgery, Electrophysiology, Heart Failure, Cardiac Rehabilitation",792,www.sacramentobaptisthospital.com
Mayo Clinic Medical Center,356 Hospital Dr,New Orleans,DE,98083,(920) 249-5009,3.8,True,"Vascular Surgery, Preventive Cardiology",95,www.mayoclinicmedicalcenter.com
Oklahoma City Baptist Hospital,1024 Hospital Dr,Oklahoma City,NH,96535,(733) 426-7775,4.3,True,"Heart Failure, Electrophysiology, Heart Surgery, Congenital Heart Disease",357,www.oklahomacitybaptisthospital.com
Johns Hopkins Heart & Vascular Institute,2969 Healing Rd,Seattle,AR,97994,(590) 737-6222,4.5,True,"Heart Failure, Vascular Surgery",763,www.johnshopkinsheart&vascularinstitute.com
Detroit University Hospital,3112 University Ave,Detroit,NE,28920,(674) 259-7761,4.3,True,"Preventive Cardiology, Congenital Heart Disease, Heart Failure",476,www.detroituniversityhospital.com
Cedar Sinai University Hospital,3431 Medical Ave,Kansas City,ND,16755,(474) 586-1647,4.5,False,"Electrophysiology, Preventive Cardiology, Heart Failure, Vascular Surgery",124,www.cedarsinaiuniversityhospital.com
Cleveland Clinic Cardiovascular Hospital,3655 Health Blvd,San Francisco,WI,72773,(448) 912-4350,3.8,False,"Interventional Cardiology, Electrophysiology, Congenital Heart Disease, Vascular Surgery",456,www.clevelandcliniccardiovascularhospital.com
Mayo Clinic St. Mary's Hospital,7739 Care Way,Fort Worth,OK,51973,(408) 579-6126,4.5,True,"Vascular Surgery, Cardiac Rehabilitation, Interventional Cardiology, Congenital Heart Disease",473,www.mayoclinicstmaryshospital.com
St. Joseph Baptist Hospital,4372 Care Way,Chicago,OR,59786,(783) 451-9180,4.9,True,"Preventive Cardiology, Electrophysiology, Congenital Heart Disease, Heart Surgery, Heart Failure",613,www.stjosephbaptisthospital.com
Virginia Beach St. Mary's Hospital,8105 Healing Rd,Virginia Beach,UT,81636,(700) 388-9882,4.5,True,"Heart Failure, Electrophysiology, Congenital Heart Disease",707,www.virginiabeachstmaryshospital.com
St. Joseph Medical Center,894 University Ave,Houston,ND,11198,(423) 717-8471,3.5,True,"Electrophysiology, Heart Failure, Vascular Surgery",432,www.stjosephmedicalcenter.com
St. Joseph County Medical Center,208 Care Way,Houston,SC,33496,(309) 298-9591,4.3,True,"Preventive Cardiology, Interventional Cardiology, Vascular Surgery, Cardiac Rehabilitation",202,www.stjosephcountymedicalcenter.com
Fort Worth Cardiac Care Center,5907 Medical Ave,Fort Worth,IL,99658,(282) 869-1519,4.7,True,"Vascular Surgery, Preventive Cardiology, Electrophysiology, Heart Failure, Heart Surgery",145,www.fortworthcardiaccarecenter.com
St. Joseph Children's Hospital,254 Healing Rd,Oklahoma City,MO,40115,(416) 908-8790,3.8,True,"Heart Failure, Preventive Cardiology, Interventional Cardiology, Congenital Heart Disease, Vascular Surgery",327,www.stjosephchildrenshospital.com
Cleveland Clinic Methodist Hospital,639 Hospital Dr,Chicago,CA,62205,(278) 506-3661,4.9,True,"Heart Surgery, Congenital Heart Disease, Heart Failure",627,www.clevelandclinicmethodisthospital.com
Cleveland Clinic Children's Hospital,5535 Health Blvd,Fort Worth,OR,22803,(647) 437-2245,4.6,True,"Heart Failure, Interventional Cardiology",398,www.clevelandclinicchildrenshospital.com
Cedar Sinai Children's Hospital,585 Healing Rd,Colorado Springs,WY,34345,(896) 799-7227,3.9,False,"Cardiac Rehabilitation, Heart Surgery, Preventive Cardiology, Vascular Surgery, Heart Failure",137,www.cedarsinaichildrenshospital.com
Johns Hopkins Presbyterian Hospital,1304 Main St,Honolulu,SC,23965,(293) 205-6050,3.9,True,"Congenital Heart Disease, Heart Surgery, Vascular Surgery",505,www.johnshopkinspresbyterianhospital.com
Portland Methodist Hospital,1530 Hospital Dr,Portland,WI,88240,(812) 532-7311,4.1,True,"Electrophysiology, Interventional Cardiology, Congenital Heart Disease, Heart Surgery, Heart Failure",62,www.portlandmethodisthospital.com
Johns Hopkins Children's Hospital,9267 Hospital Dr,Denver,NE,74634,(349) 264-3739,4.4,True,"Heart Surgery, Electrophysiology, Vascular Surgery, Heart Failure, Preventive Cardiology",495,www.johnshopkinschildrenshospital.com
St. Joseph Presbyterian Hospital,6016 Medical Ave,Seattle,NE,10887,(605) 540-7224,4.9,True,"Cardiac Rehabilitation, Vascular Surgery, Interventional Cardiology, Electrophysiology, Heart Surgery",387,www.stjosephpresbyterianhospital.com
Louisville Veterans Hospital,9838 Hospital Dr,Louisville,MI,62198,(526) 498-9044,4.0,True,"Vascular Surgery, Heart Surgery, Electrophysiology",639,www.louisvilleveteranshospital.com
Anaheim St. Mary's Hospital,6537 Medical Ave,Anaheim,KS,37479,(648) 498-2133,3.7,True,"Interventional Cardiology, Heart Failure, Cardiac Rehabilitation",468,www.anaheimstmaryshospital.com
Mount Sinai University Hospital,4239 Healing Rd,Minneapolis,NY,80040,(718) 908-7853,3.7,True,"Electrophysiology, Cardiac Rehabilitation, Preventive Cardiology, Congenital Heart Disease, Heart Failure",606,www.mountsinaiuniversityhospital.com
St. Joseph Heart & Vascular Institute,1891 University Ave,Chicago,MS,98797,(862) 609-6432,3.9,True,"Interventional Cardiology, Preventive Cardiology, Heart Failure",490,www.stjosephheart&vascularinstitute.com
San Antonio Regional Medical Center,8466 Healing Rd,San Antonio,AL,70694,(990) 895-9199,4.3,True,"Vascular Surgery, Heart Surgery, Cardiac Rehabilitation",204,www.sanantonioregionalmedicalcenter.com
Baltimore County Medical Center,6915 Main St,Baltimore,AK,69681,(411) 733-8912,3.7,False,"Heart Failure, Heart Surgery, Congenital Heart Disease",406,www.baltimorecountymedicalcenter.com
Mayo Clinic City Hospital,5325 Main St,Albuquerque,CT,54967,(863) 311-3692,4.0,True,"Interventional Cardiology, Congenital Heart Disease",299,www.mayocliniccityhospital.com
Sacramento Heart & Vascular Institute,9272 Health Blvd,Sacramento,ID,13826,(955) 828-4232,4.9,True,"Heart Surgery, Electrophysiology, Heart Failure, Cardiac Rehabilitation, Preventive Cardiology",510,www.sacramentoheart&vascularinstitute.com
Omaha Children's Hospital,3619 Hospital Dr,Omaha,NV,80371,(391) 574-6340,3.9,True,"Electrophysiology, Congenital Heart Disease",251,www.omahachildrenshospital.com
Mayo Clinic Methodist Hospital,8746 Healing Rd,Milwaukee,DE,98288,(922) 504-2388,4.0,True,"Electrophysiology, Heart Surgery, Congenital Heart Disease, Cardiac Rehabilitation, Vascular Surgery",738,www.mayoclinicmethodisthospital.com
Dallas Regional Medical Center,2016 Hospital Dr,Dallas,MA,65448,(390) 698-9804,4.1,True,"Congenital Heart Disease, Preventive Cardiology, Electrophysiology, Vascular Surgery, Cardiac Rehabilitation",760,www.dallasregionalmedicalcenter.com
Virginia Beach Heart & Vascular Institute,4832 Hospital Dr,Virginia Beach,ID,73518,(339) 399-7290,3.8,True,"Heart Failure, Interventional Cardiology",625,www.virginiabeachheart&vascularinstitute.com
Mayo Clinic County Medical Center,6909 Healing Rd,Fresno,TN,38905,(499) 233-5503,4.8,True,"Interventional Cardiology, Congenital Heart Disease",280,www.mayocliniccountymedicalcenter.com
Cleveland Clinic Community Hospital,8215 Care Way,Mesa,ME,81611,(423) 635-2677,4.3,True,"Heart Failure, Preventive Cardiology, Interventional Cardiology, Cardiac Rehabilitation",719,www.clevelandcliniccommunityhospital.com
St. Joseph Presbyterian Hospital,7468 Medical Ave,New Orleans,KS,89988,(847) 638-3719,4.0,True,"Electrophysiology, Congenital Heart Disease, Vascular Surgery, Heart Failure, Heart Surgery",680,www.stjosephpresbyterianhospital.com
Cleveland Clinic Memorial Hospital,5847 Care Way,Dallas,IN,77425,(895) 297-3221,3.9,True,"Preventive Cardiology, Heart Surgery, Vascular Surgery, Congenital Heart Disease",471,www.clevelandclinicmemorialhospital.com
Mount Sinai University Hospital,4190 Hospital Dr,Houston,LA,59174,(662) 277-2525,4.6,True,"Vascular Surgery, Electrophysiology, Preventive Cardiology, Heart Surgery, Cardiac Rehabilitation",462,www.mountsinaiuniversityhospital.com
Cedar Sinai Methodist Hospital,7549 Health Blvd,Fresno,WV,97050,(914) 566-2037,4.0,True,"Vascular Surgery, Heart Failure",597,www.cedarsinaimethodisthospital.com
Mayo Clinic Veterans Hospital,4499 Medical Ave,Oklahoma City,IN,99463,(980) 249-1752,4.7,True,"Vascular Surgery, Congenital Heart Disease, Heart Surgery",151,www.mayoclinicveteranshospital.com
Miami General Hospital,2688 Health Blvd,Miami,NJ,45916,(295) 870-6905,4.2,False,"Cardiac Rehabilitation, Heart Failure, Electrophysiology, Heart Surgery, Congenital Heart Disease",306,www.miamigeneralhospital.com
Philadelphia Community Hospital,5105 Healing Rd,Philadelphia,MS,37973,(688) 279-3174,4.5,True,"Electrophysiology, Interventional Cardiology",657,www.philadelphiacommunityhospital.com
Indianapolis City Hospital,5729 University Ave,Indianapolis,ND,60209,(291) 948-2678,3.7,False,"Vascular Surgery, Interventional Cardiology, Electrophysiology",155,www.indianapoliscityhospital.com
Boston Presbyterian Hospital,2281 Healing Rd,Boston,MS,56030,(939) 418-3480,5.0,True,"Heart Surgery, Cardiac Rehabilitation",471,www.bostonpresbyterianhospital.com
St. Joseph City Hospital,1746 Hospital Dr,Raleigh,UT,46302,(860) 286-5065,4.6,True,"Heart Failure, Cardiac Rehabilitation, Heart Surgery, Electrophysiology, Preventive Cardiology",616,www.stjosephcityhospital.com
Johns Hopkins Presbyterian Hospital,539 University Ave,Colorado Springs,RI,48737,(861) 255-4921,4.8,False,"Cardiac Rehabilitation, Heart Failure, Vascular Surgery",556,www.johnshopkinspresbyterianhospital.com
Cleveland Clinic Baptist Hospital,1263 Care Way,Las Vegas,DE,65163,(574) 759-3830,4.8,True,"Heart Failure, Electrophysiology, Cardiac Rehabilitation, Preventive Cardiology",532,www.clevelandclinicbaptisthospital.com
St. Joseph General Hospital,4395 Hospital Dr,Honolulu,CA,65518,(918) 611-2350,3.6,True,"Preventive Cardiology, Heart Failure, Congenital Heart Disease, Vascular Surgery, Cardiac Rehabilitation",705,www.stjosephgeneralhospital.com
Mesa University Hospital,5177 Main St,Mesa,OH,93138,(981) 865-2083,4.3,True,"Heart Failure, Cardiac Rehabilitation, Preventive Cardiology",367,www.mesauniversityhospital.com
Tampa Baptist Hospital,1512 Health Blvd,Tampa,NV,96252,(958) 379-2956,3.7,True,"Preventive Cardiology, Heart Failure",62,www.tampabaptisthospital.com
Arlington General Hospital,5780 Care Way,Arlington,FL,25473,(989) 230-6488,4.3,True,"Heart Surgery, Vascular Surgery, Electrophysiology, Congenital Heart Disease",489,www.arlingtongeneralhospital.com
Seattle Heart Institute,9547 Healing Rd,Seattle,ND,58193,(361) 461-2685,3.6,True,"Interventional Cardiology, Cardiac Rehabilitation, Preventive Cardiology, Electrophysiology",637,www.seattleheartinstitute.com
Minneapolis Regional Medical Center,8436 Main St,Minneapolis,WA,60197,(353) 383-1579,3.6,False,"Interventional Cardiology, Cardiac Rehabilitation, Heart Surgery",616,www.minneapolisregionalmedicalcenter.com
Arlington Veterans Hospital,4167 Health Blvd,Arlington,WV,75803,(889) 253-3938,4.9,True,"Heart Failure, Interventional Cardiology",278,www.arlingtonveteranshospital.com
Sacramento Children's Hospital,7720 University Ave,Sacramento,AZ,58354,(405) 498-5979,3.9,True,"Electrophysiology, Preventive Cardiology, Cardiac Rehabilitation, Interventional Cardiology",687,www.sacramentochildrenshospital.com
Mayo Clinic Sacred Heart Hospital,3301 Healing Rd,Fort Worth,NJ,13133,(438) 754-6675,4.9,True,"Heart Surgery, Interventional Cardiology, Cardiac Rehabilitation",701,www.mayoclinicsacredhearthospital.com
Tampa St. Mary's Hospital,6264 University Ave,Tampa,AL,17850,(345) 928-5584,4.6,True,"Cardiac Rehabilitation, Vascular Surgery, Congenital Heart Disease",145,www.tampastmaryshospital.com
Cedar Sinai Cardiac Care Center,7611 Healing Rd,Chicago,IA,84425,(263) 645-3141,3.6,True,"Congenital Heart Disease, Interventional Cardiology, Preventive Cardiology",292,www.cedarsinaicardiaccarecenter.com
Mayo Clinic St. Mary's Hospital,5445 Medical Ave,Denver,KY,24283,(359) 308-3693,4.2,True,"Heart Surgery, Congenital Heart Disease, Preventive Cardiology",510,www.mayoclinicstmaryshospital.com
Milwaukee Veterans Hospital,5970 University Ave,Milwaukee,MA,89076,(241) 420-6370,3.8,True,"Electrophysiology, Interventional Cardiology, Vascular Surgery, Heart Surgery",201,www.milwaukeeveteranshospital.com
Mayo Clinic Baptist Hospital,8512 Main St,Philadelphia,VA,82869,(966) 763-5093,4.5,True,"Interventional Cardiology, Cardiac Rehabilitation, Congenital Heart Disease",146,www.mayoclinicbaptisthospital.com
Milwaukee University Hospital,1110 University Ave,Milwaukee,CT,92614,(860) 286-5240,4.7,True,"Congenital Heart Disease, Heart Surgery, Heart Failure",126,www.milwaukeeuniversityhospital.com
